ID,RO_E15,RO_G15,RO_TOTAL,P_RO_E15,P_RO_G15,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP
C02045,238,104,342,0.695906433,0.304093567,0.573498965,0.243616288,0.119392684,0.046928916
C02046,155,32,187,0.828877005,0.171122995,0.801825292,0.101694916,0.033898304,0.044328554
C03001,198,147,345,0.573913043,0.426086957,0.014615385,0.946923076,0,0.021538462
C03002,307,141,448,0.685267857,0.314732143,0.013986014,0.951048949,0.000999001,0.005994009
C03003,241,102,343,0.702623907,0.297376093,0.108361204,0.601337793,0.254849498,0.016722408
C03004,177,174,351,0.504273504,0.495726496,0.017345401,0.941930617,0.002262443,0.021116139
C03005,147,76,223,0.659192825,0.340807175,0.026572188,0.928255093,0.00088574,0.029229407
C03006,261,85,346,0.75433526,0.24566474,0.613454947,0.143671608,0.145952121,0.0649943
C03007,155,124,279,0.555555556,0.444444444,0.127329194,0.776397513,0.068322982,0.00931677
C03008,134,95,229,0.585152838,0.414847162,0.023722628,0.953163017,0.003041363,0.007907543
C03009,175,129,304,0.575657895,0.424342105,0.014267185,0.939688716,0.000648508,0.027237354
C03010,94,64,158,0.594936709,0.405063291,0.001089325,0.897603485,0,0.089324618
C03011,171,133,304,0.5625,0.4375,0.015613382,0.95613383,0.000743494,0.011895911
C03012,211,154,365,0.578082192,0.421917808,0.028985507,0.921962098,0.002229655,0.014492753
C03013,277,92,369,0.750677507,0.249322493,0.630293159,0.13762215,0.153908795,0.048045603
C03014,183,77,260,0.703846154,0.296153846,0.461247636,0.343100188,0.11625709,0.053875237
C03015,156,127,283,0.551236749,0.448763251,0.013284134,0.95202952,0.001476015,0.016974169
C03016,179,112,291,0.615120275,0.384879725,0.008821676,0.935727788,0.00063012,0.04662886
C03017,204,105,309,0.660194175,0.339805825,0.292433542,0.55112474,0.08793456,0.048057259
C03018,264,168,432,0.611111111,0.388888889,0.133333334,0.699186994,0.100813005,0.043902439
C03019,253,84,337,0.75074184,0.24925816,0.552607502,0.182067703,0.172918573,0.070448308
C03020,182,136,318,0.572327044,0.427672956,0.01317716,0.947291362,0.002928258,0.011713031
C03021,293,109,402,0.728855721,0.271144279,0.400172124,0.438898432,0.105851988,0.03098107
C03022,204,92,296,0.689189189,0.310810811,0.600786628,0.133235005,0.16273353,0.072271386
C03023,177,114,291,0.608247423,0.391752577,0.015898255,0.950715415,0.001589825,0.011128779
C03024,188,103,291,0.64604811,0.35395189,0.01013715,0.95110316,0.001788909,0.018485391
C03025,372,86,458,0.812227074,0.187772926,0.560262966,0.124908692,0.250547845,0.042366691
C03026,358,92,450,0.795555556,0.204444444,0.545931758,0.212598425,0.159230096,0.05511811
C03027,222,91,313,0.709265176,0.290734824,0.590501797,0.151433696,0.14964157,0.074372759
C03028,194,73,267,0.72659176,0.27340824,0.007220216,0.95908544,0.007220217,0.010830325
C03029,200,112,312,0.641025641,0.358974359,0.028837998,0.94317218,0.016963528,0.002544529
C03030,193,131,324,0.595679012,0.404320988,0.003728562,0.948545861,0.004474273,0.014914242
C03031,237,124,361,0.656509695,0.343490305,0.028852458,0.939016393,0.001311475,0.020983608
C03032,265,79,344,0.770348837,0.229651163,0.480610299,0.252383979,0.167832168,0.069294342
C03033,190,66,256,0.7421875,0.2578125,0.609692207,0.165684348,0.129011133,0.0681074
C03034,256,104,360,0.711111111,0.288888889,0.534521161,0.253155158,0.129175946,0.057164069
C03035,85,78,163,0.521472393,0.478527607,0.071770335,0.844497605,0.011961724,0.055023923
C03036,100,74,174,0.574712644,0.425287356,0.002673797,0.964349376,0,0.021390375
C03037,148,106,254,0.582677165,0.417322835,0.017391304,0.943478262,0.000724638,0.023913043
C03038,249,101,350,0.711428571,0.288571429,0.01734104,0.949132948,0.002312139,0.019653179
C03039,250,52,302,0.82781457,0.17218543,0.617897727,0.104403409,0.181107956,0.064630681
C03040,225,142,367,0.613079019,0.386920981,0.222067039,0.636871509,0.05377095,0.059357542
C03041,182,108,290,0.627586207,0.372413793,0.367584331,0.354788684,0.198526558,0.051958123
C04001,138,261,399,0.345864662,0.654135338,0.472507808,0.234242317,0.16987035,0.082253013
C04002,295,81,376,0.784574468,0.215425532,0.511597088,0.145791915,0.248508943,0.055666004
C04003,172,133,305,0.563934426,0.436065574,0.017332331,0.941220795,0.004521477,0.021100226
C04004,227,185,412,0.550970874,0.449029126,0.021943574,0.941065831,0.001253918,0.015047022
C04005,178,164,342,0.520467836,0.479532164,0.025129983,0.914211437,0.017331023,0.028596187
C04006,307,181,488,0.629098361,0.370901639,0.114701133,0.601777055,0.213247174,0.042003231
C04007,234,176,410,0.570731707,0.429268293,0.054650046,0.891658679,0.016299136,0.020134229
C04008,221,195,416,0.53125,0.46875,0.030377668,0.922824304,0.005747127,0.019704433
C04009,251,234,485,0.517525773,0.482474227,0.034414954,0.882005892,0.041297935,0.014749263
C04010,225,173,398,0.565326633,0.434673367,0.056861255,0.847611835,0.021986352,0.036391204
C04011,221,119,340,0.65,0.35,0.016658501,0.951494365,0.003429691,0.010289074
C04012,193,158,351,0.54985755,0.45014245,0.016260163,0.949002218,0.001478197,0.011086474
C04013,130,62,192,0.677083333,0.322916667,0.675496698,0.147350978,0.060430469,0.076986755
C04014,199,154,353,0.563739377,0.436260623,0.056485362,0.773361213,0.125523019,0.016736404
C04015,240,160,400,0.6,0.4,0.048235296,0.889999998,0.017647056,0.020588238
C04016,254,93,347,0.731988473,0.268011527,0.675925916,0.129012347,0.099382726,0.064814815
C04017,235,106,341,0.68914956,0.31085044,0.74656404,0.081913147,0.080813637,0.056624517
C04018,221,141,362,0.610497238,0.389502762,0.017227236,0.942575881,0.003281378,0.015586545
C04019,180,132,312,0.576923077,0.423076923,0,0.964378801,0.004344049,0.015638575
C04020,242,104,346,0.699421965,0.300578035,0.517948729,0.222564098,0.194871791,0.051282048
C04021,195,109,304,0.641447368,0.358552632,0.586196319,0.239263802,0.042944787,0.10184049
C04022,237,166,403,0.58808933,0.41191067,0.323176345,0.594644519,0.018467226,0.026777465
C04023,238,223,461,0.51626898,0.48373102,0.47796142,0.36501376,0.084710766,0.030303038
C04024,205,132,337,0.608308605,0.391691395,0.163404282,0.750638264,0.024680855,0.028085106
C04025,253,87,340,0.744117647,0.255882353,0.630505713,0.121533439,0.159053833,0.062805874
C04026,227,150,377,0.602122016,0.397877984,0.025862071,0.925287353,0.001436783,0.015086208
C04027,137,218,355,0.385915493,0.614084507,0.343854934,0.447280054,0.080590996,0.084620559
C04028,214,142,356,0.601123596,0.398876404,0.054728547,0.582749553,0.317863407,0.01619965
C04029,141,128,269,0.524163569,0.475836431,0.0208,0.943199999,0.0088,0.0088
C04030,230,156,386,0.595854922,0.404145078,0.007868852,0.959344263,0.005245902,0.01704918
C04031,287,170,457,0.628008753,0.371991247,0.148816234,0.746335964,0.036076663,0.029312289
C04032,185,146,331,0.558912387,0.441087613,0.03495311,0.89173061,0.006820119,0.040920715
C04033,207,186,393,0.526717557,0.473282443,0.118906943,0.804283604,0.025849335,0.022156573
C04034,154,126,280,0.55,0.45,0.050806453,0.903225804,0.00403226,0.022580645
C04035,273,184,457,0.597374179,0.402625821,0.043905635,0.802096984,0.118610749,0.009174312
C04036,223,172,395,0.564556962,0.435443038,0.040977148,0.834515358,0.089046501,0.020488573
C04037,233,91,324,0.719135802,0.280864198,0.637326812,0.14995925,0.127954361,0.050529749
C04038,242,155,397,0.609571788,0.390428212,0.047999999,0.722666663,0.177777782,0.023999998
C05001,166,105,271,0.612546125,0.387453875,0.014747191,0.951544944,0.001404494,0.011235955
C05002,133,126,259,0.513513514,0.486486486,0.00754717,0.972641509,0,0.003773585
C05003,130,213,343,0.379008746,0.620991254,0.592829706,0.177976952,0.117157491,0.063380282
C05004,163,153,316,0.515822785,0.484177215,0.17057903,0.699530516,0.055555556,0.041471049
C05005,173,155,328,0.527439024,0.472560976,0.025125626,0.943287871,0.00143575,0.013639626
C05006,139,129,268,0.518656716,0.481343284,0.015957447,0.953900708,0.00177305,0.013297873
C05007,194,115,309,0.627831715,0.372168285,0.309791332,0.349384698,0.242375602,0.060460139
C05008,202,167,369,0.547425474,0.452574526,0.651898728,0.069620259,0.199819168,0.037070525
C05009,233,165,398,0.585427136,0.414572864,0.332575758,0.45757576,0.114393938,0.059090908
C05010,143,118,261,0.54789272,0.45210728,0.005965698,0.938851603,0.00372856,0.015659956
C05011,181,198,379,0.477572559,0.522427441,0.447298499,0.342781207,0.08680249,0.084145261
C05012,134,93,227,0.59030837,0.40969163,0.014856082,0.946146704,0,0.025998143
C05013,153,117,270,0.566666667,0.433333333,0.018909091,0.914181818,0.015272728,0.021090909
C05014,186,130,316,0.588607595,0.411392405,0.023809524,0.94235589,0.001253133,0.018796992
C05015,171,152,323,0.529411765,0.470588235,0.262975785,0.60813148,0.064878894,0.031141869
C05016,191,123,314,0.608280255,0.391719745,0.024573379,0.940614335,0.001365188,0.014334471
C05017,163,93,256,0.63671875,0.36328125,0.00241109,0.974080773,0,0.012055455
C05018,154,145,299,0.515050167,0.484949833,0.262327428,0.520710049,0.061143986,0.115384612
C05019,157,217,374,0.419786096,0.580213904,0.468426019,0.225259189,0.19038642,0.059377945
C05020,209,178,387,0.54005168,0.45994832,0.251247921,0.587354413,0.070715473,0.054908484
C05021,138,169,307,0.449511401,0.550488599,0.488936474,0.292648109,0.11420414,0.053533191
C05022,311,128,439,0.708428246,0.291571754,0.369930749,0.451038584,0.109792283,0.036597432
C05023,275,218,493,0.557809331,0.442190669,0.529965748,0.319349315,0.063356165,0.049657539
C05024,143,179,322,0.444099379,0.555900621,0.477083327,0.269444452,0.131944444,0.075000002
C05025,184,155,339,0.542772861,0.457227139,0.033927058,0.901611535,0.002544529,0.026293469
C05026,178,133,311,0.572347267,0.427652733,0.01212508,0.950223357,0.004467135,0.019783025
C05027,153,139,292,0.523972603,0.476027397,0.652595823,0.050460942,0.177098498,0.069868997
C05028,226,160,386,0.585492228,0.414507772,0.044852194,0.90723751,0,0.027522936
C05029,179,197,376,0.47606383,0.52393617,0.022490645,0.946772141,0,0.011245322
