full_text,precinct,ward,PER_WHITE,PER_BLACK,PER_ASIAN,PER_HISP,TOTVOTES,LIGHTFOOT,PRECKWINKLE,P_LIGHT,P_PRECK,
2037,37,2,0.862579281,0.034883721,0.039112051,0.039112051,295,237,58,0.803389831,0.196610169,
2038,38,2,0.874396141,0.014492752,0.050241544,0.043478259,299,253,46,0.846153846,0.153846154,
2039,39,2,0.773373984,0.06097561,0.080284553,0.06300813,198,133,65,0.671717172,0.328282828,
2040,40,2,0.68957345,0.087677731,0.136848342,0.061018958,288,237,51,0.822916667,0.177083333,
2041,41,2,0.852815895,0.040227163,0.056318026,0.04164696,221,187,34,0.846153846,0.153846154,
2042,42,2,0.725533078,0.077091307,0.113176599,0.061782395,244,187,57,0.766393443,0.233606557,
2043,43,2,0.764740221,0.054874489,0.093987157,0.063047287,346,280,66,0.809248555,0.190751445,
2044,44,2,0.909722222,0.012152777,0.046875001,0.026041666,203,176,27,0.866995074,0.133004926,
2045,45,2,0.573498965,0.243616288,0.119392684,0.046928916,317,237,80,0.747634069,0.252365931,
2046,46,2,0.801825292,0.101694916,0.033898304,0.044328554,151,124,27,0.821192053,0.178807947,
3001,1,3,0.014615385,0.946923076,0,0.021538462,405,273,132,0.674074074,0.325925926,
3002,2,3,0.013986014,0.951048949,0.000999001,0.005994009,454,261,193,0.574889868,0.425110132,
3003,3,3,0.108361204,0.601337793,0.254849498,0.016722408,318,205,113,0.644654088,0.355345912,
3004,4,3,0.017345401,0.941930617,0.002262443,0.021116139,377,245,132,0.649867374,0.350132626,
3005,5,3,0.026572188,0.928255093,0.00088574,0.029229407,172,109,63,0.63372093,0.36627907,
3006,6,3,0.613454947,0.143671608,0.145952121,0.0649943,388,322,66,0.829896907,0.170103093,
3007,7,3,0.127329194,0.776397513,0.068322982,0.00931677,260,184,76,0.707692308,0.292307692,
3008,8,3,0.023722628,0.953163017,0.003041363,0.007907543,235,156,79,0.663829787,0.336170213,
3009,9,3,0.014267185,0.939688716,0.000648508,0.027237354,335,209,126,0.623880597,0.376119403,
3010,10,3,0.001089325,0.897603485,0,0.089324618,128,87,41,0.6796875,0.3203125,
3011,11,3,0.015613382,0.95613383,0.000743494,0.011895911,299,196,103,0.655518395,0.344481605,
3012,12,3,0.028985507,0.921962098,0.002229655,0.014492753,373,238,135,0.638069705,0.361930295,
3013,13,3,0.630293159,0.13762215,0.153908795,0.048045603,404,319,85,0.78960396,0.21039604,
3014,14,3,0.461247636,0.343100188,0.11625709,0.053875237,322,234,88,0.726708075,0.273291925,
3015,15,3,0.013284134,0.95202952,0.001476015,0.016974169,270,179,91,0.662962963,0.337037037,
3016,16,3,0.008821676,0.935727788,0.00063012,0.04662886,268,180,88,0.671641791,0.328358209,
3017,17,3,0.292433542,0.55112474,0.08793456,0.048057259,343,244,99,0.711370262,0.288629738,
3018,18,3,0.133333334,0.699186994,0.100813005,0.043902439,411,307,104,0.746958637,0.253041363,
3019,19,3,0.552607502,0.182067703,0.172918573,0.070448308,360,287,73,0.797222222,0.202777778,
3020,20,3,0.01317716,0.947291362,0.002928258,0.011713031,320,194,126,0.60625,0.39375,
3021,21,3,0.400172124,0.438898432,0.105851988,0.03098107,376,260,116,0.691489362,0.308510638,
3022,22,3,0.600786628,0.133235005,0.16273353,0.072271386,354,288,66,0.813559322,0.186440678,
