,PRECINCT,CC_NUON,CC_KENNEDY,CC_LEAHY,CC_SAMARAS,CC_MERCIER,CC_MILINAZZO,CC_ELLIOT,CC_CIRILLO,CC_CONWAY,CC_CHAU,CC_ROURKE,CC_BELANGER,CC_LEARY,CC_BOYLE,CC_HOGAN,CC_LELACHAEUR,CC_FINN,CC_GIGNAC,TOT_CC,PCC_NuonChau,SC_DOHERTY,SC_HOEY,SC_MARTIN,SC_LAY,SC_DESCOTEAUX,SC_NUTTER,SC_MERCIER,SC_CREEGAN,SC_BLAKE,SC_SHANAHAN,TOT_SC,PCC_NUON,PCC_KENNEDY,PCC_LEAHY,PCC_SAMARAS,PCC_MERCIER,PCC_MILINAZZO,PCC_ELLIOT,PCC_CIRILLO,PCC_CONWAY,PCC_CHAU,PCC_ROURKE,PCC_BELANGER,PCC_LEARY,PCC_BOYLE,PCC_HOGAN,PCC_LELACHAEUR,PCC_FINN,PCC_GIGNAC,PSC_DOHERTY,PSC_HOEY,PSC_MARTIN,PSC_LAY,PSC_DESCOTEAUX,PSC_NUTTER,PSC_MERCIER,PSC_CREEGAN,PSC_BLAKE,PSC_SHANAHAN,NAME10,CVAP,CVAPHISP,CVAPWHITE,CVAPASIAN,CVAPOTHER
10,Lowell Ward 4 Precinct 2,109,45,46,40,54,32,74,26,26,107,41,43,38,23,30,28,27,29,818,0.26405868,51,48,45,100,46,30,39,39,38,39,475,0.133251834,0.055012225,0.056234719,0.048899756,0.06601467,0.039119804,0.090464548,0.031784841,0.031784841,0.130806846,0.050122249,0.052567237,0.046454768,0.028117359,0.036674817,0.034229829,0.033007335,0.035452323,0.107368421,0.101052632,0.094736842,0.210526316,0.096842105,0.063157895,0.082105263,0.082105263,0.08,0.082105263,Lowell Ward 4 Precinct 2,1930.877401,0.148568216,0.345308151,0.434684093,0.07143954
11,Lowell Ward 4 Precinct 3,138,100,79,79,105,65,81,65,52,102,67,64,50,46,48,39,43,35,1258,0.190779014,89,82,85,89,62,56,89,59,58,60,729,0.109697933,0.079491256,0.062798092,0.062798092,0.083465819,0.051669316,0.064387917,0.051669316,0.041335453,0.081081081,0.053259141,0.050874404,0.039745628,0.036565978,0.038155803,0.03100159,0.03418124,0.02782194,0.122085048,0.112482853,0.11659808,0.122085048,0.085048011,0.076817558,0.122085048,0.080932785,0.079561043,0.082304527,Lowell Ward 4 Precinct 3,2418.447252,0.190602183,0.41394816,0.31873962,0.076710037
12,Lowell Ward 5 Precinct 1,113,125,108,112,190,111,184,97,84,125,156,142,129,69,74,129,129,116,2193,0.108527132,128,125,117,98,167,87,191,124,125,124,1286,0.051527588,0.056999544,0.049247606,0.051071591,0.086639307,0.050615595,0.083903329,0.044231646,0.038303694,0.056999544,0.071135431,0.064751482,0.058823529,0.031463748,0.03374373,0.058823529,0.058823529,0.052895577,0.099533437,0.097200622,0.090979782,0.076205288,0.129860031,0.067651633,0.148522551,0.096423017,0.097200622,0.096423017,Lowell Ward 5 Precinct 1,2382.566396,0.090393084,0.773805234,0.100573265,0.035228417
13,Lowell Ward 5 Precinct 2,82,104,86,87,132,74,105,78,70,108,107,97,77,47,58,75,80,76,1543,0.123136747,108,84,100,73,107,76,103,77,87,90,905,0.053143227,0.067401167,0.05573558,0.056383668,0.085547634,0.047958522,0.068049255,0.050550875,0.04536617,0.069993519,0.069345431,0.06286455,0.049902787,0.030460143,0.037589112,0.04860661,0.051847051,0.049254699,0.119337017,0.09281768,0.110497238,0.080662983,0.118232044,0.083977901,0.113812155,0.085082873,0.096132597,0.099447514,Lowell Ward 5 Precinct 2,2274.490089,0.251719763,0.651589354,0.060847938,0.035842946
14,Lowell Ward 5 Precinct 3,151,185,171,173,227,167,207,130,125,152,182,175,168,104,104,136,140,137,2834,0.10691602,192,164,179,128,194,148,193,143,150,181,1672,0.053281581,0.065278758,0.060338744,0.06104446,0.0800988,0.058927311,0.073041637,0.04587156,0.044107269,0.053634439,0.064220183,0.061750176,0.059280169,0.036697248,0.036697248,0.047988709,0.049400141,0.048341567,0.114832536,0.098086124,0.107057416,0.076555024,0.116028708,0.088516746,0.115430622,0.085526316,0.089712919,0.108253589,Lowell Ward 5 Precinct 3,2064.684705,0.189435789,0.723396797,0.02863689,0.058530524
15,Lowell Ward 6 Precinct 1,183,239,224,206,299,207,268,169,170,195,273,261,212,149,138,209,194,178,3774,0.100158983,243,224,219,164,256,159,271,217,223,236,2212,0.048489666,0.063328034,0.059353471,0.054583996,0.079226285,0.054848967,0.071012189,0.044780074,0.045045045,0.051669316,0.072337043,0.069157393,0.056173821,0.039480657,0.036565978,0.055378908,0.051404346,0.047164812,0.109855335,0.101265823,0.099005425,0.074141049,0.115732369,0.071880651,0.122513562,0.098101266,0.100813743,0.106690778,Lowell Ward 6 Precinct 1,2345.570642,0.123019367,0.751630212,0.07936145,0.045988971
16,Lowell Ward 6 Precinct 2,221,253,252,248,286,209,262,190,186,202,261,235,247,153,162,243,204,191,4005,0.105617978,242,226,234,197,257,185,253,238,225,220,2277,0.055181024,0.063171036,0.062921348,0.061922597,0.071410737,0.052184769,0.065418227,0.047440699,0.046441948,0.050436954,0.065168539,0.058676654,0.061672909,0.038202247,0.040449438,0.060674157,0.05093633,0.047690387,0.106280193,0.099253404,0.102766798,0.086517347,0.112867809,0.081247255,0.111111111,0.104523496,0.098814229,0.096618357,Lowell Ward 6 Precinct 2,2425.886412,0.157586352,0.629103067,0.132546828,0.080763753
17,Lowell Ward 6 Precinct 3,154,195,168,172,256,168,250,131,147,176,236,215,189,107,112,225,178,155,3234,0.102040816,188,195,192,135,233,142,231,208,192,220,1936,0.047619048,0.060296846,0.051948052,0.05318491,0.079158936,0.051948052,0.077303649,0.040507112,0.045454545,0.054421769,0.072974644,0.066481138,0.058441558,0.033085962,0.034632035,0.069573284,0.055040198,0.047928262,0.097107438,0.10072314,0.099173554,0.069731405,0.12035124,0.073347107,0.119318182,0.107438017,0.099173554,0.113636364,Lowell Ward 6 Precinct 3,2883.425312,0.217050365,0.513107222,0.219889351,0.049953062
18,Lowell Ward 7 Precinct 1,118,106,98,92,112,71,111,55,70,110,88,81,71,51,49,61,55,64,1463,0.155844156,93,90,80,111,88,63,103,67,75,69,839,0.080656186,0.072453862,0.066985646,0.062884484,0.076555024,0.048530417,0.075871497,0.037593985,0.04784689,0.07518797,0.060150376,0.055365687,0.048530417,0.034859877,0.033492823,0.041695147,0.037593985,0.043745728,0.110846246,0.10727056,0.095351609,0.132300358,0.10488677,0.075089392,0.122765197,0.079856973,0.089392133,0.082240763,Lowell Ward 7 Precinct 1,2322.64338,0.176876845,0.550571375,0.224459442,0.048092338
19,Lowell Ward 7 Precinct 2,194,147,108,122,79,109,106,111,96,126,58,73,60,77,83,40,34,45,1668,0.191846523,143,118,129,159,90,89,70,66,74,65,1003,0.116306954,0.088129496,0.064748201,0.073141487,0.04736211,0.065347722,0.063549161,0.066546763,0.057553957,0.075539568,0.034772182,0.043764988,0.035971223,0.04616307,0.049760192,0.023980815,0.020383693,0.026978417,0.142572283,0.117647059,0.128614158,0.158524427,0.089730808,0.088733799,0.069790628,0.065802592,0.073778664,0.064805583,Lowell Ward 7 Precinct 2,2420.692324,0.233087768,0.379439726,0.326020333,0.061452173
20,Lowell Ward 7 Precinct 3,146,61,57,63,60,49,87,39,38,123,41,47,42,35,38,25,30,19,1000,0.269,69,53,63,110,49,36,45,35,44,40,544,0.146,0.061,0.057,0.063,0.06,0.049,0.087,0.039,0.038,0.123,0.041,0.047,0.042,0.035,0.038,0.025,0.03,0.019,0.126838235,0.097426471,0.115808824,0.202205882,0.090073529,0.066176471,0.082720588,0.064338235,0.080882353,0.073529412,Lowell Ward 7 Precinct 3,1834.828779,0.184387373,0.316351251,0.377475055,0.121786321
