,PRECINCT,CC_MERCIER,CC_ELLIOT,CC_KENNEDY,CC_LEAHY,CC_SAMARAS,CC_MILINAZZO,CC_ROURKE,CC_BELANGER,CC_LEARY,CC_NUON,CC_MENDONCA,CC_CONWAY,CC_YEM,CC_GYS,CC_SO,CC_KHIM,CC_HOGAN,CC_MERRILL,TOT_CC,PCC_NuonYemSoKhim,PSC_LayKay,SC_GENDRON,SC_DOHERTY,SC_MARTIN,SC_HOEY,SC_GIGNAC,SC_DESCOTEAUX,SC_MERCIER,SC_OPARA,SC_ROUX,SC_KAY,SC_FARMER,SC_LAY,TOT_SC,PCC_MERCIER,PCC_ELLIOT,PCC_KENNEDY,PCC_LEAHY,PCC_SAMARAS,PCC_MILINAZZO,PCC_ROURKE,PCC_BELANGER,PCC_LEARY,PCC_NUON,PCC_MENDONCA,PCC_CONWAY,PCC_YEM,PCC_GYS,PCC_SO,PCC_KHIM,PCC_HOGAN,PCC_MERRILL,PSC_GENDRON,PSC_DOHERTY,PSC_MARTIN,PSC_HOEY,PSC_GIGNAC,PSC_DESCOTEAUX,PSC_MERCIER,PSC_OPARA,PSC_ROUX,PSC_KAY,PSC_FARMER,PSC_LAY,NAME10,CVAP,CVAPHISP,CVAPWHITE,CVAPASIAN,CVAPOTHER
10,Lowell Ward 4 Precinct 2,78,103,54,48,42,33,44,46,57,102,36,48,101,25,76,89,22,14,1018,0.361493124,0.320338983,56,57,46,33,34,37,39,41,22,86,36,103,590,0.076620825,0.101178782,0.053045187,0.047151277,0.041257367,0.032416503,0.043222004,0.04518664,0.055992141,0.100196464,0.035363458,0.047151277,0.099214145,0.024557957,0.074656189,0.087426326,0.021611002,0.013752456,0.094915254,0.096610169,0.077966102,0.055932203,0.057627119,0.062711864,0.066101695,0.069491525,0.037288136,0.145762712,0.061016949,0.174576271,Lowell Ward 4 Precinct 2,1930.877401,0.148568216,0.345308151,0.434684093,0.07143954
11,Lowell Ward 4 Precinct 3,111,124,80,58,72,53,56,62,42,101,52,48,96,26,79,60,24,15,1159,0.289905091,0.212349398,63,61,67,54,49,55,64,33,32,78,45,63,664,0.095772217,0.106988783,0.069025022,0.050043141,0.062122519,0.045729077,0.048317515,0.053494392,0.036238136,0.08714409,0.044866264,0.041415013,0.082830026,0.022433132,0.068162209,0.051768766,0.020707506,0.012942192,0.094879518,0.09186747,0.100903614,0.081325301,0.073795181,0.082831325,0.096385542,0.049698795,0.048192771,0.11746988,0.067771084,0.094879518,Lowell Ward 4 Precinct 3,2418.447252,0.190602183,0.41394816,0.31873962,0.076710037
12,Lowell Ward 5 Precinct 1,202,187,148,128,127,130,151,125,105,60,117,100,52,71,50,30,49,32,1864,0.103004292,0.059121622,133,127,121,112,100,139,165,63,89,42,65,28,1184,0.108369099,0.100321888,0.079399142,0.068669528,0.068133047,0.069742489,0.081008584,0.067060086,0.056330472,0.032188841,0.06276824,0.053648069,0.027896996,0.038090129,0.026824034,0.016094421,0.026287554,0.017167382,0.112331081,0.107263514,0.102195946,0.094594595,0.084459459,0.117398649,0.139358108,0.053209459,0.075168919,0.035472973,0.054898649,0.023648649,Lowell Ward 5 Precinct 1,2382.566396,0.090393084,0.773805234,0.100573265,0.035228417
13,Lowell Ward 5 Precinct 2,124,105,97,72,69,72,92,93,59,48,68,67,38,43,24,28,33,38,1170,0.117948718,0.089932886,90,85,82,67,67,68,88,58,34,40,39,27,745,0.105982906,0.08974359,0.082905983,0.061538462,0.058974359,0.061538462,0.078632479,0.079487179,0.05042735,0.041025641,0.058119658,0.057264957,0.032478632,0.036752137,0.020512821,0.023931624,0.028205128,0.032478632,0.120805369,0.11409396,0.110067114,0.089932886,0.089932886,0.091275168,0.118120805,0.077852349,0.045637584,0.053691275,0.052348993,0.036241611,Lowell Ward 5 Precinct 2,2274.490089,0.251719763,0.651589354,0.060847938,0.035842946
14,Lowell Ward 5 Precinct 3,221,175,153,149,133,142,151,144,97,73,140,92,68,59,37,33,46,32,1945,0.10848329,0.075303644,149,131,128,116,122,136,140,71,70,47,79,46,1235,0.113624679,0.089974293,0.078663239,0.076606684,0.068380463,0.073007712,0.077634961,0.07403599,0.049871465,0.037532134,0.071979434,0.047300771,0.03496144,0.03033419,0.019023136,0.016966581,0.023650386,0.016452442,0.120647773,0.106072874,0.103643725,0.093927126,0.098785425,0.110121457,0.113360324,0.057489879,0.056680162,0.03805668,0.063967611,0.037246964,Lowell Ward 5 Precinct 3,2064.684705,0.189435789,0.723396797,0.02863689,0.058530524
15,Lowell Ward 6 Precinct 1,316,257,225,207,191,200,259,215,152,120,198,134,85,103,49,54,44,38,2847,0.108184053,0.068926554,208,191,192,155,159,194,213,111,136,65,89,57,1770,0.110994029,0.09027046,0.079030558,0.072708114,0.067088163,0.070249385,0.090972954,0.075518089,0.053389533,0.042149631,0.069546891,0.047067088,0.029855989,0.036178433,0.017211099,0.018967334,0.015454865,0.013347383,0.117514124,0.107909605,0.108474576,0.087570621,0.089830508,0.10960452,0.120338983,0.062711864,0.076836158,0.036723164,0.050282486,0.03220339,Lowell Ward 6 Precinct 1,2345.570642,0.123019367,0.751630212,0.07936145,0.045988971
16,Lowell Ward 6 Precinct 2,340,294,235,229,222,192,275,207,197,138,217,169,94,122,60,56,58,32,3137,0.110934013,0.072522983,218,197,213,184,177,168,215,158,183,75,103,67,1958,0.108383806,0.093720115,0.074912337,0.072999681,0.07076825,0.061204973,0.087663373,0.065986611,0.062798852,0.043991074,0.06917437,0.053873127,0.029964935,0.03889066,0.019126554,0.01785145,0.018489002,0.010200829,0.1113381,0.10061287,0.108784474,0.093973442,0.090398366,0.085801839,0.109805924,0.080694586,0.093462717,0.038304392,0.052604699,0.03421859,Lowell Ward 6 Precinct 2,2425.886412,0.157586352,0.629103067,0.132546828,0.080763753
17,Lowell Ward 6 Precinct 3,267,224,206,184,192,190,215,155,157,100,168,116,93,105,34,33,47,41,2527,0.102888801,0.068123393,187,180,152,140,149,151,146,102,153,60,90,46,1556,0.105658884,0.088642659,0.081519588,0.072813613,0.075979422,0.07518797,0.085081124,0.061337554,0.062129007,0.039572616,0.066481994,0.045904234,0.036802533,0.041551247,0.013454689,0.013058963,0.018599129,0.016224772,0.120179949,0.115681234,0.097686375,0.089974293,0.095758355,0.097043702,0.093830334,0.065552699,0.098329049,0.038560411,0.057840617,0.029562982,Lowell Ward 6 Precinct 3,2883.425312,0.217050365,0.513107222,0.219889351,0.049953062
18,Lowell Ward 7 Precinct 1,133,132,85,77,89,82,87,75,70,82,53,52,85,31,56,62,24,23,1298,0.219568567,0.161684783,76,66,80,61,47,59,102,39,45,67,42,52,736,0.102465331,0.101694915,0.065485362,0.059322034,0.068567026,0.063174114,0.067026194,0.057781202,0.053929122,0.063174114,0.040832049,0.040061633,0.065485362,0.023882897,0.043143297,0.047765794,0.018489985,0.017719569,0.10326087,0.089673913,0.108695652,0.082880435,0.063858696,0.080163043,0.138586957,0.05298913,0.061141304,0.091032609,0.057065217,0.070652174,Lowell Ward 7 Precinct 1,2322.64338,0.176876845,0.550571375,0.224459442,0.048092338
19,Lowell Ward 7 Precinct 2,93,91,70,43,67,50,43,61,48,102,53,43,105,34,76,85,27,17,1108,0.332129964,0.233883058,59,65,67,44,43,54,57,46,33,80,43,76,667,0.083935018,0.082129964,0.063176895,0.038808664,0.060469314,0.045126354,0.038808664,0.055054152,0.0433213,0.092057762,0.047833935,0.038808664,0.094765343,0.030685921,0.068592058,0.076714801,0.024368231,0.01534296,0.088455772,0.097451274,0.100449775,0.065967016,0.064467766,0.08095952,0.085457271,0.068965517,0.049475262,0.11994003,0.064467766,0.113943028,Lowell Ward 7 Precinct 2,2420.692324,0.233087768,0.379439726,0.326020333,0.061452173
20,Lowell Ward 7 Precinct 3,79,114,59,49,47,36,42,48,46,137,35,49,129,34,114,125,27,21,1191,0.424013434,0.316788321,59,54,53,48,30,28,51,47,46,111,52,106,685,0.066330814,0.095717884,0.049538203,0.041141898,0.039462636,0.0302267,0.035264484,0.040302267,0.038623006,0.115029387,0.02938707,0.041141898,0.108312343,0.028547439,0.095717884,0.10495382,0.022670025,0.017632242,0.086131387,0.078832117,0.077372263,0.070072993,0.04379562,0.040875912,0.074452555,0.068613139,0.067153285,0.162043796,0.075912409,0.154744526,Lowell Ward 7 Precinct 3,1834.828779,0.184387373,0.316351251,0.377475055,0.121786321
