PRECINCT,TOTVOTE,P_DANIEL,P_SGONZAL,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
4801,328,0.725609756,0.274390244,0.080460573,0.886451382,0.007940073,0.025147972,0.906696589,0.009140703,0.067973644,0.016189064
4802,351,0.675213675,0.324786325,0.10945417,0.839769117,0.013022809,0.037753904,0.800421645,0.007400801,0.104707155,0.087470399
5001,39,0.58974359,0.41025641,0.587757687,0.398181535,0.00232025,0.011740528,0.477451778,0.011765528,0.509535641,0.001247053
5003,186,0.801075269,0.198924731,0.080800053,0.875585483,0.016187985,0.027426479,0.869716146,0.016415057,0.100338468,0.013530329
5010,53,0.58490566,0.41509434,0.082090443,0.878023837,0.005161966,0.034723754,0.881925478,0,0.099015386,0.019059136
5012,155,0.735483871,0.264516129,0.132201733,0.223063914,0.610768953,0.0339654,0.20088736,0.669273572,0.096021427,0.033817641
5014,162,0.759259259,0.240740741,0.114485284,0.859066765,0.009462245,0.016985706,0.884201207,0.034117353,0.064413206,0.017268234
5016,92,0.75,0.25,0.184372184,0.776726502,0.012297456,0.026603858,0.933059443,0.012740002,0.02550935,0.028691206
5020,110,0.763636364,0.236363636,0.107624472,0.846540802,0.015022211,0.030812515,0.865942933,0.009034734,0.107766315,0.017256018
5101,71,0.690140845,0.309859155,0.100502813,0.814404387,0.003291785,0.081801015,0.825654913,0.006469234,0.101539389,0.066336464
