PRECINCT,TOTVOTE,P_JOHNS,P_SOTOP,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
4115,126,0.753968254,0.246031746,0.091321015,0.889562832,0.008460569,0.010655584,0.93010067,0.018075939,0.018789473,0.033033918
4503,36,0.888888889,0.111111111,0.071404358,0.885552512,0.0142741,0.02876903,0.943257892,0.0080969,0.040540694,0.008104514
4601,127,0.787401575,0.212598425,0.066362252,0.886297605,0.006729748,0.040610395,0.672796321,0,0.250704641,0.076499039
4609,110,0.772727273,0.227272727,0.257356938,0.707636635,0.007037804,0.027968623,0.605504838,0.000542327,0.291811779,0.102141055
4623,25,0.8,0.2,0.093769189,0.732738492,0.120949994,0.052542325,0.760575191,0.027986141,0.111732213,0.099706456
4625,1,0,1,0.212714056,0.786971735,3.56E-05,0.000278609,0.899640876,0.025089798,0.007169725,0.068099601
4626,7,0.571428571,0.428571429,0.082578992,0.896955606,0,0.020465402,0.734631729,0,0.200144993,0.065223278
4627,86,0.755813953,0.244186047,0.177950301,0.799735372,6.92E-05,0.022245127,0.934524508,4.35E-07,0.037535435,0.027939622
4801,363,0.804407713,0.195592287,0.080456425,0.886515612,0.007909649,0.025118314,0.906706773,0.009139244,0.067971168,0.016182815
5003,214,0.836448598,0.163551402,0.080788163,0.875603285,0.016184834,0.027423718,0.869718633,0.016420782,0.100331511,0.013529075
5010,72,0.791666667,0.208333333,0.082090424,0.878023859,0.005161967,0.03472375,0.881901133,0,0.099042363,0.019056504
5012,175,0.645714286,0.354285714,0.132204016,0.223039563,0.610791259,0.033965162,0.200855932,0.669303365,0.096022251,0.033818452
5014,210,0.776190476,0.223809524,0.114413848,0.859076723,0.009443431,0.017065998,0.884194269,0.0340463,0.064477914,0.017281518
5020,154,0.824675325,0.175324675,0.107624471,0.84654081,0.015022211,0.030812508,0.865949045,0.009040368,0.107754267,0.01725632
154,235,0.685106383,0.314893617,0.230323199,0.687340124,0.013549763,0.068786914,0.670973369,0.012095165,0.285436696,0.03149477
3102,185,0.589189189,0.410810811,0.399761304,0.315464044,0.214679583,0.070095069,0.381560321,0.276586042,0.308106437,0.0337472
