PRECINCT,TOTVOTE,P_TAYLOR,P_GONZALEZ,P_HVAP,P_WVAP,P_AMINVAP,P_OTHVAP,P_CVAPW,P_CVAPAMIN,P_CVAPHISP,P_CVAPOTH
305,19,0.473684211,0.526315789,0.253940861,0.723229683,0.000246002,0.022583454,0.467994642,0.120086443,0.352390013,0.059528902
306,527,0.529411765,0.470588235,0.613654725,0.352951956,0.002921057,0.030472262,0.346288805,0.004897934,0.646364357,0.002448904
307,37,0.783783784,0.216216216,0.427352078,0.468220416,0.012489241,0.091938265,0.604466867,0,0.364637044,0.030896089
308,1,1,0,0.395078512,0.604921488,0,0,0.651006711,0,0.315436242,0.033557047
501,508,0.277559055,0.722440945,0.837085689,0.138343209,0.01436811,0.010202992,0.206912475,0.006862935,0.739239493,0.046985097
901,313,0.17571885,0.82428115,0.894144268,0.097931521,0.000721011,0.0072032,0.138286349,0.002519165,0.847963968,0.011230518
1101,963,0.609553479,0.390446521,0.338900565,0.610888926,0.015171354,0.035039155,0.599659712,0.057563323,0.314832943,0.027944022
1501,484,0.638429752,0.361570248,0.208850074,0.744080788,0.008847516,0.038221622,0.852260268,0.000694231,0.102469195,0.044576306
1502,645,0.725581395,0.274418605,0.094077888,0.873625637,0.010273104,0.022023371,0.89900879,0.005677245,0.04729368,0.048020285
1503,619,0.770597738,0.229402262,0.086403989,0.878277804,0.012916336,0.022401871,0.866450779,0.004490615,0.109415201,0.019643405
1504,664,0.760542169,0.239457831,0.124651282,0.842944473,0.009843062,0.022561183,0.934903859,0.018606077,0.023245458,0.023244606
1701,473,0.308668076,0.691331924,0.854979647,0.133524399,0.00138791,0.010108044,0.202667524,0.001335533,0.794560082,0.001436861
1702,42,0.833333333,0.166666667,0.272250792,0.662004319,0.035166195,0.030578694,0.43492641,0,0.56507359,0
1703,428,0.495327103,0.504672897,0.665768812,0.295812472,0.009245093,0.029173623,0.26519507,0.021168194,0.694823363,0.018813373
